Hay confusión.,There is confusion.,"verb haber, present",verb:haber conjugation:Present
A esa hora hubo confusión.,At that hour there was confusion.,"verb haber, past preterite",verb:haber conjugation:PastPreterite
Ayer hubo confusión.,Yesterday there was confusion.,"verb haber, past preterite",verb:haber conjugation:PastPreterite
De pronto hubo confusión.,Suddenly there was confusion.,"verb haber, past preterite",verb:haber conjugation:PastPreterite
De repente hubo confusión.,Suddenly there was confusion.,"verb haber, past preterite",verb:haber conjugation:PastPreterite
Él me dijo que había confusión.,He told me that there was confusion.,"verb haber, past imperfect",verb:haber conjugation:PastImperfect
Todas las mañanas había confusión.,Every morning there was confusion.,"verb haber, past imperfect",verb:haber conjugation:PastImperfect
Todos los años había confusión.,Every year there was confusion.,"verb haber, past imperfect",verb:haber conjugation:PastImperfect
Todos los días había confusión.,Every day there was confusion.,"verb haber, past imperfect",verb:haber conjugation:PastImperfect
Habrá confusión.,There will be confusion.,"verb haber, future",verb:haber conjugation:Future
Habría confusión.,There would be confusion.,"verb haber, conditional",verb:haber conjugation:Conditional
Ha habido confusión.,There has been confusion.,"verb haber, present perfect",verb:haber conjugation:PresentPerfect
